vehicle_id,listing_date,manufacture_year,brand,vehicle_type,battery_capacity_kwh,battery_health_pct,range_km,km_driven,charging_time_hr,fast_charging,owner_count,city,service_history,resale_price
EV-20861,2025-01-31,2020,E-Motion,SUV,61.5,93.8,454,78882,7.7,Yes,1,Bengaluru,Partial,1640624
EV-20891,2025-02-01,2025,Voltix,Hatchback,28.7,90.4,370,17313,7.9,Yes,1,Pune,Partial,1467882
EV-20004,2025-02-02,2019,E-Motion,Sedan,53.7,,343,41146,5.5,Yes,2,Delhi,Complete,1523378
EV-20437,2025-02-03,2020,Nexora,Sedan,66.7,85.6,223,56661,5.2,Yes,1,Delhi,Complete,1447117
EV-20044,2025-02-04,2022,Voltix,Sedan,63.1,84.9,229,24479,7.1,No,3,Bengaluru,,1461421
EV-20163,2025-02-05,2024,Atheron,Crossover,49.6,83.1,389,69388,7.4,No,1,Mumbai,Partial,1496244
EV-20497,2025-02-06,2024,Voltix,SUV,55.8,95.7,319,24463,3.9,No,1,Mumbai,Complete,1785996
EV-20969,2025-02-07,2023,Voltix,Sedan,25,92.6,298,29927,6.8,Yes,1,Bengaluru,Complete,1493454
EV-20848,2025-02-08,2019,Voltix,Crossover,59.6,88.7,301,124714,5.5,No,2,Hyderabad,Partial,1214628
EV-20903,2025-02-09,2023,Voltix,Crossover,86.3,94.7,319,14228,6.3,Yes,1,Bengaluru,Complete,1939616
EV-20674,2025-02-10,2017,Atheron,Hatchback,73.1,91.9,361,171158,6.9,No,1,Delhi,Complete,1282088
EV-20056,2025-02-11,2017,E-Motion,Sedan,62.4,86.2,441,75640,5.4,Yes,2,Chennai,Partial,1509261
EV-20343,2025-02-12,2023,GreenDrive,Sedan,70.5,97.4,459,30452,5.3,No,1,Chennai,Complete,1801797
EV-20581,2025-02-13,2023,Nexora,Hatchback,53.3,89.7,306,18165,5.6,Yes,2,Hyderabad,Partial,1668387
EV-20493,2025-02-14,2024,Voltix,Sedan,37.5,90.4,466,45848,4.5,Yes,1,Mumbai,Complete,1595982
EV-20644,2025-02-15,2022,E-Motion,Crossover,71.2,79.8,558,180000,11.4,Yes,1,Pune,Complete,1451640
EV-20867,2025-02-16,2022,Voltix,Crossover,62.2,91.2,216,94847,6.1,Yes,1,Bengaluru,Complete,1399231
EV-20267,2025-02-17,2023,Atheron,Crossover,48.5,89.3,369,73786,7.5,No,1,Chennai,Complete,1544634
EV-20252,2025-02-18,2023,E-Motion,Hatchback,78.5,98.4,402,48735,6.3,Yes,2,Chennai,Complete,1819958
EV-20767,2025-02-19,2017,Atheron,Sedan,61,100,386,22223,5.5,Yes,3,Mumbai,Complete,1589237
EV-20986,2025-02-20,2019,Atheron,SUV,54.3,82.6,333,94774,6.9,Yes,2,Bengaluru,Complete,1395142
EV-20007,2025-02-21,2017,GreenDrive,Crossover,50.6,93.5,344,180000,5,No,3,Pune,Partial,1207024
EV-20560,2025-02-22,2019,E-Motion,SUV,,86.2,354,69808,7.5,Yes,1,Chennai,Complete,1448700
EV-20074,2025-02-23,2019,GreenDrive,Crossover,77.3,92,350,20656,5.3,Yes,3,Mumbai,Complete,1797030
EV-20838,2025-02-24,2019,GreenDrive,SUV,44.4,93,302,22682,6,Yes,1,Hyderabad,Partial,1638447
EV-20028,2025-02-25,2016,GreenDrive,Sedan,54.6,95.5,489,118881,6.4,No,1,Delhi,Complete,1416119
EV-20237,2025-02-26,2021,GreenDrive,SUV,86.7,98,,28634,6,No,1,Delhi,Partial,1860754
EV-20473,2025-02-27,2021,Voltix,SUV,49.9,90.8,320,29333,4.7,Yes,4,Bengaluru,Partial,1594906
EV-20506,2025-02-28,2024,E-Motion,SUV,55.3,90.4,513,21290,6.7,Yes,2,Delhi,Complete,1892574
EV-20959,2025-03-01,2024,Nexora,Hatchback,75.5,,315,41376,4.4,Yes,2,Delhi,Complete,1574581
EV-20980,2025-03-02,2020,E-Motion,Hatchback,49.3,95.4,443,31507,5.7,Yes,4,Pune,Complete,1528901
EV-20577,2025-03-03,2024,GreenDrive,Hatchback,49.8,98.6,407,76452,7.8,Yes,2,Delhi,Complete,1541662
EV-20552,2025-03-04,2017,GreenDrive,SUV,78.3,90.7,239,36946,4.4,Yes,2,Pune,Complete,1624590
EV-20782,2025-03-05,2022,Nexora,SUV,81.3,90.8,279,40172,3.3,No,4,Hyderabad,Complete,1657222
EV-20753,2025-03-06,2016,GreenDrive,Sedan,47.9,89.9,380,38375,6.4,Yes,4,Chennai,Complete,1518075
EV-20356,2025-03-07,2025,Atheron,Crossover,47.6,94.9,303,44227,8.5,No,1,Delhi,Complete,1653416
EV-20360,2025-03-08,2024,Nexora,Sedan,57,94.8,566,30573,8.6,No,2,Bengaluru,Complete,1834623
EV-20380,2025-03-09,2019,E-Motion,Hatchback,,93.2,533,29200,9.6,Yes,2,Bengaluru,Complete,1788504
EV-20412,2025-03-10,2016,GreenDrive,Sedan,69.9,96.9,288,48633,7.2,Yes,1,Hyderabad,Partial,1515125
EV-20257,2025-03-11,2024,E-Motion,Hatchback,35.8,89.6,383,69687,5.6,No,2,Chennai,Partial,1421903
EV-20251,2025-03-12,2018,Nexora,Hatchback,33.4,90.9,249,45831,7,No,1,Mumbai,Complete,1280332
EV-20973,2025-03-13,2019,Nexora,SUV,51.6,89.9,455,145360,3.8,Yes,3,Mumbai,Complete,1513411
EV-20515,2025-03-14,2016,GreenDrive,Hatchback,61.6,100,210,37482,7,Yes,1,Mumbai,Complete,1492498
EV-20713,2025-03-15,2023,E-Motion,SUV,32.7,96.4,165,29626,2.8,Yes,2,Bengaluru,Complete,1490287
EV-20392,2025-03-16,2023,GreenDrive,Hatchback,57.3,89.5,222,42843,4.2,Yes,1,Pune,Missing,1405329
EV-20874,2025-03-17,2016,Voltix,SUV,53.9,85.7,302,55598,5.5,Yes,1,Bengaluru,Complete,1521481
EV-20078,2025-03-18,2023,Atheron,Sedan,63.5,,473,105331,9.1,Yes,1,Delhi,Complete,1513230
EV-20049,2025-03-19,2019,Atheron,Hatchback,48.2,91.8,457,26669,3.8,No,1,Hyderabad,Complete,1561541
EV-20715,2025-03-20,2016,GreenDrive,Sedan,75.9,78.9,546,58170,10.6,Yes,2,Bengaluru,Complete,1532159
EV-20382,2025-03-21,2019,E-Motion,Hatchback,52.3,89.7,343,155700,6.9,No,3,Pune,Complete,1196611
EV-20549,2025-03-22,2022,GreenDrive,Hatchback,61.1,95.5,311,48260,10,No,1,Mumbai,Complete,1522789
EV-20653,2025-03-23,2019,Atheron,Crossover,61.4,92.3,398,72412,10.6,No,4,Chennai,Complete,1267473
EV-20386,2025-03-24,2017,GreenDrive,Crossover,47.1,92.4,440,106594,7.8,Yes,1,Hyderabad,Complete,1455230
EV-20455,2025-03-25,2023,Voltix,SUV,69.8,89,252,74224,6,Yes,1,Hyderabad,Complete,1488522
EV-20238,2025-03-26,2016,Nexora,SUV,73.3,90.7,531,13442,5.6,Yes,1,Hyderabad,Complete,1886520
EV-20175,2025-03-27,2023,E-Motion,Sedan,54.9,81.7,349,100601,4,No,1,Delhi,Complete,1444137
EV-20285,2025-03-28,2021,Atheron,Crossover,49.9,96.8,440,30444,6.8,No,2,Bengaluru,Partial,1624505
EV-20622,2025-03-29,2021,Atheron,Sedan,81.6,86.7,376,61926,6.7,No,2,Pune,Complete,1557835
EV-20955,2025-03-30,2016,E-Motion,Hatchback,78.1,98,291,8232,4.1,Yes,1,Delhi,Complete,1726590
EV-20452,2025-03-31,2020,Voltix,SUV,35,97.4,410,27314,8.6,Yes,1,Delhi,Complete,1698644
EV-20630,2025-04-01,2018,Nexora,Hatchback,81.9,89.6,433,47486,4.6,Yes,2,Bengaluru,Partial,1735292
EV-20607,2025-04-02,2025,Voltix,Sedan,71.5,91.2,402,13806,5.8,Yes,4,Pune,Complete,1856159
EV-20399,2025-04-03,2020,E-Motion,Hatchback,75.3,91,310,69409,5.5,Yes,2,Delhi,Partial,1538339
EV-20309,2025-04-04,2022,Atheron,Crossover,60.6,91.7,310,24882,6.1,Yes,1,Mumbai,Complete,1690713
EV-20563,2025-04-05,2019,Nexora,Crossover,33.7,96.9,278,63643,6.9,Yes,2,Bengaluru,Complete,1474551
EV-20316,2025-04-06,2021,E-Motion,Crossover,72.6,90.9,396,34604,7.5,Yes,2,Delhi,Complete,1729102
EV-20142,2025-04-07,2024,Atheron,Crossover,50.7,93.3,434,94661,6.8,No,1,Pune,Complete,1707869
EV-20384,2025-04-08,2018,GreenDrive,SUV,53.5,90,262,31428,4.2,Yes,2,Bengaluru,,1464637
EV-20254,2025-04-09,2019,Voltix,Hatchback,68.9,96.4,338,13154,5.6,No,1,Hyderabad,Complete,1693139
EV-20488,2025-04-10,2018,GreenDrive,SUV,63.7,98.8,334,6812,4,Yes,3,Delhi,Partial,1605711
EV-20606,2025-04-11,2016,Atheron,Sedan,61,99.3,395,23282,8.3,No,1,Hyderabad,Partial,1526969
EV-20276,2025-04-12,2021,Atheron,Crossover,79.4,84.6,367,66238,7.1,Yes,2,Bengaluru,Partial,1572654
EV-20667,2025-04-13,2018,Voltix,Sedan,67.6,97.7,432,61456,6.6,No,3,Pune,Complete,1559470
EV-20833,2025-04-14,2023,GreenDrive,Hatchback,89.9,87.8,340,121941,6.9,No,1,Delhi,Partial,1470380
EV-20777,2025-04-15,2024,Atheron,Crossover,46.1,90,253,9901,5.2,No,1,Hyderabad,Complete,1578645
EV-20274,2025-04-16,2021,Voltix,Sedan,68.7,93.7,539,60074,10.5,Yes,1,Chennai,Complete,1836140
EV-20026,2025-04-17,2020,Atheron,SUV,47.5,92.8,493,14546,5.8,Yes,1,Hyderabad,Missing,1821676
EV-20448,2025-04-18,2016,E-Motion,Crossover,83.5,87.8,341,28900,6.4,No,1,Hyderabad,Missing,1563775
EV-20938,2025-04-19,2019,Voltix,SUV,34.2,90.5,197,22269,6.4,Yes,1,Hyderabad,Complete,1475164
EV-20122,2025-04-20,2020,E-Motion,Crossover,52,88.5,254,67872,8,No,2,Mumbai,Complete,1313871
EV-20507,2025-04-21,2016,Voltix,SUV,70.5,97.5,347,33209,9.4,Yes,2,Hyderabad,Partial,1657028
EV-20873,2025-04-22,2016,E-Motion,SUV,62.5,88,462,57736,5.4,No,2,Pune,Partial,1551066
EV-20203,2025-04-23,2021,GreenDrive,Crossover,69.8,95.9,287,59591,3.7,No,1,Delhi,Partial,1655332
EV-20524,2025-04-24,2019,Atheron,Crossover,70.7,99.7,482,71485,6.4,Yes,2,Hyderabad,Partial,1732187
EV-20234,2025-04-25,2023,Atheron,Hatchback,,85,389,22534,5.3,No,1,Mumbai,Partial,1404427
EV-20626,2025-04-26,2022,Nexora,SUV,49.3,95.7,363,51847,10,Yes,1,Pune,Partial,1662127
EV-20325,2025-04-27,2018,Atheron,Hatchback,76.8,78.6,347,22215,7.4,No,1,Mumbai,Complete,1489913
EV-20693,2025-04-28,2024,E-Motion,Crossover,75.2,89.8,454,42871,7.2,Yes,3,Hyderabad,Missing,1595896
EV-20119,2025-04-29,2024,Nexora,Crossover,62.1,96.7,301,38207,7.1,No,2,Pune,Missing,1599517
EV-20011,2025-04-30,2016,Nexora,Sedan,57.9,99.5,,40831,8.4,Yes,4,Mumbai,Complete,1591429
EV-20832,2025-05-01,2020,Atheron,Sedan,48.9,87.8,157,16410,,No,4,Hyderabad,Complete,1208691
EV-20977,2025-05-02,2021,Voltix,Crossover,65.4,100,368,120505,3.7,No,1,Chennai,Complete,1666576
EV-20318,2025-05-03,2020,Nexora,Sedan,55.9,85.5,369,23592,3.6,Yes,3,Mumbai,Partial,1570432
EV-20288,2025-05-04,2016,E-Motion,Crossover,67.3,98.2,296,95955,7.8,Yes,2,Hyderabad,Complete,1401278
EV-20598,2025-05-05,2019,Atheron,Crossover,65.8,96.1,488,81666,7,No,1,Chennai,Complete,1643259
EV-20926,2025-05-06,2018,GreenDrive,Sedan,56.4,96.4,460,130363,,No,2,Delhi,,1483673
EV-20870,2025-05-07,2021,E-Motion,Sedan,50.9,89.8,370,28475,8.3,No,4,Bengaluru,,1478376
EV-20354,2025-05-08,2024,Nexora,Hatchback,40.4,92.1,327,32573,6.7,Yes,2,Delhi,Complete,1622289
EV-20403,2025-05-09,2024,E-Motion,Hatchback,70.8,90.3,302,136059,5.5,Yes,1,Pune,Complete,1508211
EV-20246,2025-05-10,2021,Atheron,Hatchback,58.7,85.3,476,33757,6.6,Yes,2,Hyderabad,Complete,1496639
EV-20185,2025-05-11,2021,Voltix,Hatchback,69.1,96.9,497,90267,7.9,Yes,1,Pune,Partial,1682811
EV-20856,2025-05-12,2016,Voltix,Hatchback,46.7,90,484,53327,6.7,Yes,1,Delhi,Partial,1633211
EV-20932,2025-05-13,2016,Nexora,Sedan,60.3,88.5,255,80109,8.2,No,2,Delhi,Complete,1395556
EV-20544,2025-05-14,2024,E-Motion,Sedan,38,93.9,511,67782,3.1,Yes,2,Chennai,Complete,1604620
EV-20646,2025-05-15,2025,Voltix,Sedan,49.2,,397,118969,6,Yes,1,Hyderabad,Partial,1471916
EV-20865,2025-05-16,2018,Nexora,SUV,51.4,77,273,119281,6.7,Yes,4,Bengaluru,Partial,1117512
EV-20845,2025-05-17,2023,Atheron,Hatchback,65.8,96.5,431,13920,,Yes,2,Hyderabad,Complete,1664322
EV-20499,2025-05-18,2022,GreenDrive,Hatchback,63.6,87.8,331,73000,9.5,Yes,3,Pune,Missing,1294238
EV-20013,2025-05-19,2025,GreenDrive,Crossover,52.4,97.9,282,61023,7.4,Yes,1,Hyderabad,Complete,1519160
EV-20278,2025-05-20,2017,E-Motion,Crossover,29.6,90.8,378,30651,7.9,No,1,Delhi,Complete,1435020
EV-20359,2025-05-21,2024,E-Motion,SUV,46.7,85.4,368,51950,6.4,Yes,1,Delhi,Missing,1683988
EV-20215,2025-05-22,2018,E-Motion,Hatchback,75.3,88.6,424,44040,6.1,No,1,Mumbai,Complete,1684857
EV-20783,2025-05-23,2016,Atheron,Crossover,71.9,94.1,379,22011,7.9,Yes,1,Hyderabad,Complete,1709115
EV-20949,2025-05-24,2025,E-Motion,Hatchback,49.6,98.5,289,35408,5.5,Yes,1,Chennai,Partial,1581813
EV-20114,2025-05-25,2020,Nexora,Crossover,71.8,84,277,103859,7.9,Yes,1,Mumbai,Partial,1488349
EV-20282,2025-05-26,2021,Voltix,SUV,64.4,87.8,340,49427,7.3,No,2,Pune,Complete,1540270
EV-20365,2025-05-27,2025,GreenDrive,Sedan,62.2,95,221,38692,8.5,Yes,2,Pune,Complete,1429221
EV-20420,2025-05-28,2019,GreenDrive,Crossover,49,98.4,439,33736,2.5,Yes,4,Hyderabad,,1472087
EV-20292,2025-05-29,2018,E-Motion,Sedan,68.1,90.4,468,57605,4.5,No,2,Delhi,Complete,1666242
EV-20127,2025-05-30,2024,Voltix,SUV,80.8,89.1,372,50135,6.3,Yes,1,Bengaluru,Complete,1832386
EV-20757,2025-05-31,2020,Voltix,Hatchback,61.7,87.7,360,20836,6.7,Yes,4,Delhi,Complete,1435341
EV-20518,2025-06-01,2016,Voltix,Crossover,40.2,90.7,310,63346,9.6,Yes,2,Mumbai,Complete,1225976
EV-20916,2025-06-02,2022,Voltix,Hatchback,81.5,90.3,275,63376,6.9,Yes,1,Bengaluru,Partial,1603053
EV-20565,2025-06-03,2024,Nexora,Hatchback,44.1,95.8,231,180000,6.5,Yes,1,Mumbai,Complete,1396601
EV-20402,2025-06-04,2023,E-Motion,Crossover,45.9,88.4,,24839,4.7,No,1,Chennai,Partial,1641155
EV-20502,2025-06-05,2016,Atheron,Sedan,61.5,88.4,,57727,6.4,Yes,3,Chennai,Complete,1486971
EV-20051,2025-06-06,2022,Voltix,Hatchback,74.6,93.2,,10698,4.9,Yes,2,Chennai,Complete,1736790
EV-20751,2025-06-07,2017,Nexora,Hatchback,54.3,90,330,112563,11,No,2,Pune,Partial,1227311
EV-20140,2025-06-08,2023,Nexora,Hatchback,83.2,85.1,281,51625,7.5,Yes,2,Mumbai,Complete,1642640
EV-20247,2025-06-09,2016,GreenDrive,Crossover,83.6,84,524,15182,9.6,No,1,Hyderabad,Complete,1807274
EV-20662,2025-06-10,2020,Atheron,Crossover,77,88.3,300,91575,7.4,No,1,Delhi,Complete,1424808
EV-20456,2025-06-11,2018,GreenDrive,SUV,100,90.1,363,19402,5.9,No,2,Mumbai,Complete,1878583
EV-20138,2025-06-12,2023,GreenDrive,SUV,63.2,90.6,323,65258,8.1,Yes,1,Mumbai,Complete,1599677
EV-20696,2025-06-13,2025,E-Motion,SUV,79.3,92.6,385,60382,5.2,Yes,1,Hyderabad,Missing,1908801
EV-20090,2025-06-14,2025,Atheron,SUV,48.2,93,452,30878,7.9,Yes,1,Hyderabad,Missing,1719541
EV-20416,2025-06-15,2022,GreenDrive,SUV,94.2,92.5,383,145919,5.3,No,1,Pune,Complete,1702137
EV-20786,2025-06-16,2018,E-Motion,SUV,52.9,91.3,560,66114,2.7,Yes,3,Mumbai,Complete,1655709
EV-20917,2025-06-17,2024,Nexora,Sedan,43.7,83.7,401,30345,5.6,Yes,3,Delhi,Missing,1481372
EV-20103,2025-06-18,2024,GreenDrive,Hatchback,50.8,87.7,,40450,4.7,Yes,1,Pune,Partial,1614208
EV-20083,2025-06-19,2019,Nexora,Hatchback,58.7,89.5,398,12642,6.2,Yes,1,Mumbai,Partial,1696722
EV-20352,2025-06-20,2021,GreenDrive,Hatchback,85.7,97.8,399,33734,7.8,Yes,1,Pune,Complete,1871155
EV-20655,2025-06-21,2025,Voltix,Crossover,60.9,96.6,339,116427,2,No,1,Bengaluru,Partial,1643359
EV-20183,2025-06-22,2021,GreenDrive,SUV,54,88,346,44679,5.6,No,3,Pune,Partial,1592776
EV-20459,2025-06-23,2025,GreenDrive,SUV,67.7,78.7,423,17861,7.8,Yes,1,Delhi,Complete,1713530
EV-20726,2025-06-24,2020,E-Motion,Hatchback,66.4,93.9,461,106704,8.6,No,1,Bengaluru,Complete,1512241
EV-20627,2025-06-25,2020,E-Motion,Crossover,54.1,86.8,363,20689,,Yes,1,Bengaluru,Complete,1537307
EV-20221,2025-06-26,2020,E-Motion,Sedan,,93.9,297,38771,,Yes,2,Delhi,Complete,1421800
EV-20323,2025-06-27,2018,Atheron,Hatchback,58.6,97.2,284,64498,4.2,Yes,1,Pune,Partial,1502188
EV-20614,2025-06-28,2016,Voltix,Hatchback,63.2,90.8,336,84429,7.5,No,1,Chennai,Complete,1347330
EV-20066,2025-06-29,2017,Nexora,Sedan,69.9,82.4,480,36604,4.6,Yes,2,Bengaluru,Complete,1677279
EV-20091,2025-06-30,2022,Atheron,Crossover,63.7,90.9,425,180000,3.8,Yes,1,Hyderabad,Complete,1474505
EV-20190,2025-07-01,2016,E-Motion,SUV,65.8,96.1,189,77848,6.7,Yes,2,Pune,Complete,1348827
EV-20465,2025-07-02,2025,Nexora,Sedan,54.5,85.4,362,64937,6.5,Yes,1,Hyderabad,Complete,1696533
EV-20789,2025-07-03,2023,GreenDrive,SUV,42.5,90.4,562,9498,9.4,Yes,2,Hyderabad,Complete,1684025
EV-20562,2025-07-04,2021,Nexora,Sedan,55.2,88.8,435,35173,7.3,Yes,1,Hyderabad,Partial,1727749
EV-20355,2025-07-05,2016,Atheron,Hatchback,49.3,86.1,460,30902,3.5,Yes,1,Hyderabad,Complete,1557581
EV-20393,2025-07-06,2025,Nexora,Hatchback,71.4,97.5,294,12977,6.2,Yes,2,Bengaluru,Partial,1846703
EV-20405,2025-07-07,2018,Atheron,Hatchback,72.2,95.1,571,25484,7.4,No,2,Delhi,,1769302
EV-20423,2025-07-08,2019,Atheron,Hatchback,51.3,98.4,510,24935,4.1,No,1,Mumbai,Partial,1674692
EV-20719,2025-07-09,2017,GreenDrive,Sedan,57.1,95.8,377,42010,6.3,No,1,Bengaluru,Partial,1525504
EV-20275,2025-07-10,2017,Atheron,Hatchback,90.6,100,356,40253,5.1,Yes,2,Hyderabad,Partial,1779099
EV-20120,2025-07-11,2022,E-Motion,Sedan,39.6,88.8,324,114526,7.9,No,1,Mumbai,Complete,1338479
EV-20330,2025-07-12,2025,Voltix,SUV,66.3,97.1,432,28356,3.9,No,2,Bengaluru,Complete,1852476
EV-20561,2025-07-13,2024,Nexora,Sedan,51.3,,419,43862,5.3,Yes,2,Mumbai,Complete,1725361
EV-20480,2025-07-14,2022,E-Motion,Crossover,28.6,91.7,440,58235,7.2,Yes,1,Mumbai,Complete,1466483
EV-20554,2025-07-15,2022,Nexora,Sedan,67.5,89.6,328,52486,4.3,Yes,2,Chennai,Missing,1567460
EV-20920,2025-07-16,2020,Nexora,Crossover,57,89.4,335,20946,5.3,Yes,1,Pune,Complete,1654467
EV-20553,2025-07-17,2017,Atheron,Sedan,84,90,341,47795,8,Yes,2,Bengaluru,Complete,1584511
EV-20945,2025-07-18,2021,Atheron,Sedan,39.7,86.4,328,31297,8.1,Yes,2,Delhi,Complete,1503260
EV-20165,2025-07-19,2023,GreenDrive,Crossover,39.9,82.1,287,22765,8.2,Yes,1,Hyderabad,Partial,1408504
EV-20250,2025-07-20,2018,Nexora,Sedan,61.2,87.8,355,90630,8.8,No,2,Pune,Missing,1257138
EV-20860,2025-07-21,2018,Atheron,Crossover,35.1,85.2,266,14726,5.7,Yes,2,Delhi,Complete,1314126
EV-20571,2025-07-22,2019,Atheron,SUV,48.3,100,276,40014,4.9,Yes,1,Chennai,Partial,1602042
EV-20730,2025-07-23,2019,Voltix,SUV,51.2,88.7,332,26863,5.3,Yes,2,Chennai,Partial,1595742
EV-20564,2025-07-24,2019,GreenDrive,SUV,56.4,87.2,236,62865,7.2,Yes,1,Chennai,Partial,1504570
EV-20855,2025-07-25,2025,Nexora,Crossover,70.9,89.2,417,53344,5.5,Yes,1,Pune,Complete,1856424
EV-20609,2025-07-26,2023,E-Motion,Hatchback,57.7,93.1,346,121784,3.3,No,1,Bengaluru,Partial,1577880
EV-20006,2025-07-27,2022,Voltix,SUV,34.3,100,270,30945,6.4,Yes,4,Pune,Partial,1504439
EV-20557,2025-07-28,2025,E-Motion,Hatchback,46.9,89.6,396,52443,3.4,No,1,Chennai,Complete,1553737
EV-20613,2025-07-29,2021,Nexora,Sedan,73.1,87.3,256,60738,5.6,Yes,1,Delhi,Complete,1588678
EV-20580,2025-07-30,2025,Voltix,SUV,45.2,89.3,308,31253,6.3,No,2,Delhi,Complete,1541855
EV-20308,2025-07-31,2017,Atheron,Crossover,44.9,94.9,373,41276,6.6,Yes,2,Chennai,Complete,1476509
EV-20936,2025-08-01,2021,E-Motion,Hatchback,54.5,86.7,300,76360,3.4,Yes,2,Delhi,Partial,1484598
EV-20505,2025-08-02,2016,Atheron,Sedan,51.1,89.2,330,141089,6.5,Yes,3,Chennai,Complete,1047190
EV-20336,2025-08-03,2016,Atheron,Hatchback,42.6,92.8,239,39237,6.8,Yes,3,Delhi,Complete,1235092
EV-20100,2025-08-04,2021,GreenDrive,Sedan,46.6,85.5,428,38332,8.3,Yes,2,Pune,Complete,1500493
EV-20024,2025-08-05,2023,Nexora,Crossover,58.3,98.7,522,36166,7,Yes,1,Delhi,Partial,2012814
EV-20152,2025-08-06,2021,E-Motion,SUV,68.5,88.3,240,139604,4.4,Yes,1,Mumbai,Complete,1345278
EV-20625,2025-08-07,2016,GreenDrive,Hatchback,41.9,88,294,180000,3.5,Yes,1,Bengaluru,Complete,1011244
EV-20483,2025-08-08,2019,Atheron,Hatchback,74.3,81.8,398,163251,5.5,Yes,2,Hyderabad,Partial,1340107
EV-20729,2025-08-09,2017,Nexora,Crossover,60.1,95.8,408,33227,5.8,Yes,1,Bengaluru,Missing,1726727
EV-20391,2025-08-10,2019,Atheron,Crossover,29.9,96,212,21201,7.1,Yes,2,Pune,Missing,1323622
EV-20220,2025-08-11,2025,Nexora,Hatchback,81.4,96,403,66847,9.4,Yes,2,Pune,Partial,1777240
EV-20040,2025-08-12,2019,Voltix,Sedan,25.5,91.5,410,21722,3.5,No,1,Bengaluru,Partial,1434474
