CustomerID,Age,AnnualIncome,Spending,CreditScore,Balance,Tenure,Geography,Gender,Segment,Target
10064,33,144554,40560,374,91083.23,10,Germany,Male,SME,Churn
10065,,120657,32899,709,48796.89,10,,Male,Retail,Stay
10066,67,131449,14841,480,160821.97,8,Canada,Male,SME,Churn
10067,33,51813,30414,436,160283.32,10,Germany,Other,SME,Churn
10068,38,136017,40650,816,85348.15,8,Canada,Male,SME,Stay
10069,48,137983,17486,553,167972.58,4,Germany,Female,SME,Stay
10070,33,91984,29327,379,142708.97,3,UK,Female,Corporate,Churn
10071,52,41122,9568,454,,2,France,Male,Retail,Churn
10072,,126849,22184,855,93184.86,0,USA,Female,Corporate,Churn
10073,67,173112,46081,320,171346.41,9,Canada,Female,Retail,Churn
10074,40,98279,49879,699,170689.59,6,,Other,SME,Stay
10075,52,178139,14953,799,43884.33,6,Canada,Male,Corporate,Stay
10076,39,195341,45008,714,144836.28,7,USA,Other,SME,Stay
10077,19,123290,39290,877,132599.95,1,France,Female,Retail,Churn
10078,,67639,3795,566,75820.77,3,Canada,Female,Corporate,Stay
10079,66,119385,18735,731,50454.31,1,Canada,Male,SME,Churn
10080,52,33653,23435,529,130028.82,10,India,Male,Retail,Stay
10081,30,25342,41219,456,47708.99,7,France,Male,SME,Churn
10082,31,141905,46340,562,153379.62,2,Germany,,SME,Stay
10083,63,50024,11232,618,21619.75,0,UK,Other,SME,Churn
10084,42,123980,47359,503,15199.3,10,USA,Male,SME,Churn
10085,67,99058,45343,423,159245.44,9,India,Female,SME,Churn
10086,45,193413,24785,370,101192.16,5,India,Female,Corporate,Churn
10087,24,133645,24236,770,141461.73,6,USA,Other,SME,Stay
10088,59,90800,40864,851,154928.29,7,Canada,Other,SME,Stay
10089,35,104490,16588,388,55785.65,7,USA,Female,SME,Churn
10090,57,195161,25337,644,5740,5,USA,Female,Retail,Churn
10091,40,87725,22804,586,176064,4,Germany,Male,SME,Stay
10092,30,42442,16317,716,97715.57,3,France,Female,SME,Stay
10093,63,148665,29871,317,18610.67,3,Canada,Other,Retail,Churn
10094,37,194053,38612,677,94652.1,8,UK,Female,SME,Stay
10095,53,106714,23556,764,54183.29,4,USA,Male,SME,Stay
10096,30,102719,8335,848,190175.51,2,USA,Male,SME,Stay
10097,48,92482,47986,837,119358.15,1,USA,Female,Retail,Churn
10098,41,67039,20309,314,141603.7,2,UK,Male,Retail,Churn
10099,53,,46205,429,127573.93,7,India,Male,SME,Churn
10100,36,143049,31873,751,68141.19,0,UK,Female,Retail,Churn
10101,70,37129,26760,803,,10,France,Male,Retail,Churn
10102,27,167545,20412,387,198783.62,1,Germany,Female,SME,Churn
10103,56,182114,15290,835,76075.61,7,UK,Other,Corporate,Stay
10104,37,169062,41199,361,121926.18,1,USA,Other,Retail,Churn
10105,34,193127,5820,460,47973.04,8,India,Male,Retail,Churn
10106,44,138096,45678,781,58251.86,3,,Other,Corporate,Stay
10107,62,139021,5164,539,184782.21,10,Germany,Other,,Stay
10108,45,50087,36188,530,129526.94,4,USA,Male,Retail,Stay
10109,28,,39496,882,184238.51,7,India,Female,SME,Stay
10110,37,125515,18341,812,107996.31,7,India,Other,Retail,Stay
10111,45,104494,40064,556,5172.98,3,France,Other,SME,Churn
10112,19,196234,18162,890,8046.33,2,Canada,Other,,Churn
10113,46,92917,12394,899,87177,7,India,Female,Corporate,Stay
10114,44,107374,21540,407,171546.62,5,Canada,Other,Corporate,Churn
10115,36,193692,26744,863,7339.43,1,UK,Female,Corporate,Churn
10116,25,125952,34224,301,131532.08,8,,Female,Retail,Churn
10117,30,155905,24209,810,125081.75,0,USA,Female,SME,Churn
10118,26,95505,29212,796,24285.22,10,Germany,Male,SME,Stay
10119,28,101461,36599,314,110450.28,1,USA,Male,Corporate,Churn
10120,25,189793,10590,810,186530.61,4,Germany,Other,Corporate,Stay
10121,44,146484,31447,549,91357.29,2,Canada,Male,SME,Stay
10122,50,55784,5075,582,154535.03,6,UK,Other,Corporate,Stay
10123,70,20672,19036,605,167495.18,9,France,Female,Retail,Stay
10124,46,,32241,653,,8,Canada,Female,Corporate,Stay
10125,30,82601,37973,692,46712.49,6,India,Female,SME,Stay
10126,48,119937,25802,455,99065.73,0,USA,Other,SME,Churn
10127,39,46309,29355,402,105190.22,7,India,Other,Retail,Churn
10128,44,191646,10616,376,93898.12,4,UK,Other,SME,Churn
10129,43,190350,5763,636,170468.27,8,Canada,Female,SME,Stay
10130,63,147912,35956,336,123491.89,3,France,Other,Corporate,Churn
10131,32,43692,28940,400,152073.94,1,Canada,Male,SME,Churn
10132,37,27588,3514,632,159228.69,4,UK,Female,Corporate,Stay
10133,27,84014,35310,721,113185.61,2,USA,Male,,Stay
10134,57,120281,41113,546,99533.45,9,USA,Male,Corporate,Stay
10135,58,86578,30618,561,133368.14,7,UK,Other,SME,Stay
10136,28,39362,29449,653,197530.34,4,France,Female,SME,Stay
10137,34,139756,20299,503,199874.71,7,India,Male,,Stay
10138,54,114098,38170,602,198538.41,4,India,Other,Corporate,Stay
10139,35,22122,37588,350,182123.39,7,UK,Male,SME,Churn
10140,69,112358,14852,494,124178.23,10,France,,,Churn
10141,26,184691,6867,340,61786.58,7,India,Other,Corporate,Churn
10142,64,54448,6406,602,65343.83,6,USA,Male,Retail,Stay
10143,68,,24476,843,100358.95,4,USA,Female,Corporate,Stay
10144,69,97369,49426,646,160846.51,7,India,,,Stay
10145,61,196791,26544,870,73155.01,6,India,Female,SME,Stay
10146,25,139219,24655,568,116912.02,10,UK,Male,SME,Stay
10147,32,143594,2140,874,65601.26,9,USA,Other,Retail,Stay
10148,58,141704,46445,609,129847.89,1,USA,Male,Retail,Churn
10149,37,149138,8110,399,46960.01,8,USA,Female,Corporate,Churn
10150,41,,49202,853,83825.35,2,,Other,Retail,Stay
10151,,181389,27246,586,6543.26,5,USA,Female,Corporate,Churn
10152,33,115075,7011,676,108893.17,10,UK,Male,Corporate,Stay
10153,35,69757,8505,765,18334.68,3,France,Other,SME,Churn
10154,19,33258,22356,549,197764.18,9,USA,Male,SME,Stay
10155,31,173716,14652,538,65711.91,2,Germany,Male,Corporate,Stay
10156,27,54076,35903,556,159702.76,1,France,Male,Retail,Churn
10157,18,113911,16093,631,3156.22,4,India,,SME,Churn
10158,44,157910,7948,365,95249.19,5,Germany,Other,Retail,Churn
10159,46,152078,15019,344,145448.6,10,Germany,Female,Corporate,Churn
10160,59,28165,4486,790,,6,France,Male,Corporate,Stay
10161,63,136277,5316,382,64422.36,2,India,Male,Corporate,Churn
10162,57,185957,38862,861,142430.56,6,Germany,Other,Corporate,Stay
10163,47,152527,40177,740,19835.69,1,France,Other,SME,Churn
10164,64,,28685,762,177618.2,6,UK,,Corporate,Stay
10165,44,44926,20983,737,62504.71,4,UK,Male,SME,Stay
10166,48,37598,6478,387,18646.02,1,France,Other,Corporate,Churn
10167,69,54108,36962,361,117293.02,8,Germany,Female,SME,Churn
10168,25,127691,23673,733,173618.43,0,,Other,Corporate,Churn
10169,40,47158,38374,819,42547.76,10,Canada,Male,Retail,Stay
10170,40,165821,24588,417,152521.13,9,USA,Female,SME,Churn
10171,67,182981,40711,870,5250.77,10,France,Female,Retail,Churn
10172,29,91636,46552,616,184307.5,5,India,Male,Retail,Stay
10173,54,,26765,371,28374.93,10,India,Male,SME,Churn
10174,51,76395,25154,729,90729.16,2,UK,Female,SME,Stay
10175,38,168791,39574,386,176668.44,2,USA,,Retail,Churn
10176,61,41386,18332,753,132387.74,7,Germany,Female,Corporate,Stay
10177,,76510,49975,824,22763.5,6,India,Female,SME,Stay
10178,61,,32391,839,133426.51,0,USA,Female,SME,Churn
10179,21,22015,13897,608,,2,UK,Female,Corporate,Stay
10180,25,22026,33096,740,35138.96,6,Germany,Other,Retail,Stay
10181,50,166466,44281,662,14415.1,0,Canada,Male,Corporate,Churn
10182,22,102066,38232,739,114679.94,10,Canada,Female,Retail,Stay
10183,43,25467,21784,475,,9,,Other,Corporate,Churn
10184,23,134481,7437,549,87135.31,6,Germany,Male,Corporate,Stay
10185,37,109001,15020,641,155823.57,1,Germany,Other,Retail,Churn
10186,51,153680,13207,657,70219.95,10,USA,Male,Retail,Stay
10187,27,87100,13428,477,120479.8,10,India,,SME,Churn
10188,49,141622,49943,877,,7,France,Other,SME,Stay
10189,58,183714,21681,623,30191.48,1,Canada,Female,SME,Churn
10190,37,92004,39259,357,70388.44,1,UK,Female,Corporate,Churn
10191,20,34913,24665,593,15346.2,1,Germany,Other,SME,Churn
10192,42,141297,38532,867,190846.3,0,Canada,Other,SME,Churn
10193,30,104286,40149,787,100273.46,0,Canada,Male,Corporate,Churn
10194,63,42106,33566,476,7828.43,7,Canada,Other,SME,Churn
10195,57,61614,24348,681,183587.36,6,Canada,Female,,Stay
10196,56,33727,41845,642,13182.37,1,Germany,Other,Corporate,Churn
10197,,86059,47930,453,,9,France,Male,Corporate,Churn
10198,37,191980,46275,701,25790.33,1,UK,Other,Corporate,Churn
10199,59,106108,8875,839,18690.59,10,Canada,Other,Corporate,Churn
10200,19,115052,20741,484,190233.86,5,Canada,Male,Retail,Churn
10201,26,,5557,602,168885.68,1,Germany,,SME,Churn
10202,51,29895,43880,644,175278.55,9,USA,Other,Corporate,Stay
10203,27,62532,12351,469,144236.6,0,,Female,SME,Churn
10204,64,82267,29611,591,150478.23,7,USA,Other,Retail,Stay
10205,37,142949,13215,676,135661.37,9,Canada,Female,Corporate,Stay
10206,,120105,33458,840,83732.17,2,USA,Other,Retail,Stay
10207,34,33678,42520,792,,8,India,Other,SME,Stay
10208,25,94727,5996,464,54558.26,8,USA,Female,Retail,Churn
10209,32,138260,23410,327,82979.38,6,Germany,Female,Retail,Churn
10210,42,41392,25070,529,5637.51,1,France,Other,Corporate,Churn
10211,,58285,9517,339,57375.88,7,France,Male,SME,Churn
10212,48,137598,40827,305,181171.5,0,UK,Male,Retail,Churn
10213,53,179614,35088,733,22237.37,4,USA,Female,Retail,Stay
10214,21,82505,28013,768,12561.43,7,Germany,,Retail,Churn
10215,58,155102,38186,547,143708.87,4,Canada,Male,SME,Stay
10216,40,83062,37899,726,37462.78,10,,Other,Corporate,Stay
10217,22,157903,36156,819,157282.47,8,Germany,Male,,Stay
10218,48,31412,42159,696,,4,France,Male,Corporate,Stay
10219,68,37710,23096,546,146588.2,10,India,Other,SME,Stay
10220,66,107167,9243,345,70459.81,5,France,Male,SME,Churn
10221,47,145444,41901,486,162299.54,1,France,Female,Retail,Churn
10222,36,72845,3370,504,177158.08,5,UK,Other,Corporate,Stay
10223,70,162352,31524,559,7324.15,10,USA,Female,Corporate,Churn
10224,67,32531,43474,639,54643.32,5,Canada,,SME,Stay
10225,46,121356,22719,491,99240.65,7,UK,Other,Corporate,Churn
10226,69,41656,48150,734,15785.4,9,USA,Other,Corporate,Churn
10227,38,46895,5747,635,132183.84,4,Canada,Other,SME,Stay
10228,45,63684,45704,754,70309.4,0,France,Female,SME,Churn
10229,45,91973,42408,358,15008.23,10,Canada,Female,SME,Churn
10230,69,198103,10984,331,28555.89,9,France,Female,Retail,Churn
10231,26,,15966,675,72430.12,9,India,Other,Retail,Stay
10232,61,137944,24811,680,88787.86,1,Germany,Male,SME,Churn
10233,41,,21103,585,49922.33,1,India,Other,Retail,Churn
10234,,155723,25861,875,23552.2,4,France,Female,Retail,Stay
10235,57,94862,45980,802,40035.67,2,India,Female,Retail,Stay
10236,63,136683,6253,627,133567.96,1,Germany,Other,Corporate,Churn
10237,37,61289,47149,478,158739.28,8,,Male,Retail,Churn
10238,68,56405,16014,805,5256.81,8,Germany,Female,Corporate,Churn
10239,69,,9004,388,13149.62,6,France,Other,Corporate,Churn
10240,51,127687,27332,888,14750.14,5,France,Male,Corporate,Churn
10241,47,198286,34405,652,25666.92,8,France,Other,Retail,Stay
10242,67,53825,28852,814,182142.45,0,India,Other,Retail,Churn
10243,37,63163,11114,630,186947.57,3,UK,Other,Corporate,Stay
10244,23,85694,13364,864,54890.21,10,UK,Other,SME,Stay
10245,23,151746,42507,472,,9,USA,Male,SME,Churn
10246,57,178633,22626,877,8238.86,0,India,Male,SME,Churn
10247,67,171197,17844,515,153391.8,6,Germany,Other,Retail,Stay
10248,49,184407,36254,596,128381.46,4,Canada,Male,SME,Stay
10249,43,97970,30223,374,137722.71,2,,Female,Corporate,Churn
10250,47,73483,22794,447,62516.5,5,France,,Corporate,Churn
10251,26,117134,34249,875,21236.79,3,Canada,Male,Corporate,Stay
10252,46,84990,9732,399,10121.06,6,Germany,Female,Retail,Churn
10253,28,105835,38359,620,37966.82,2,Canada,Other,Corporate,Stay
10254,49,100882,33095,323,18009.82,6,,Female,Retail,Churn
10255,31,,23627,349,10108.08,7,Germany,Other,SME,Churn
10256,48,94907,35672,308,169434.47,6,USA,Female,SME,Churn
10257,41,125710,24482,346,80116.32,9,Germany,Male,Corporate,Churn
10258,53,95655,5318,695,100851.11,8,UK,Other,SME,Stay
10259,,51145,8932,399,78780.74,5,Germany,Female,Retail,Churn
10260,30,177932,33865,711,100015.58,0,India,Male,SME,Churn
10261,,144189,34534,767,29788.13,8,USA,Female,SME,Stay
10262,38,62598,26252,606,118744.93,8,Germany,Other,Corporate,Stay
10263,63,167567,20147,786,163149.77,5,UK,Other,Retail,Stay
10264,44,173014,20663,327,119381.92,4,France,Other,SME,Churn
10265,32,33462,38741,791,34102.41,10,France,Other,Corporate,Stay
10266,27,,16372,332,114514.05,1,USA,Male,Corporate,Churn
10267,38,,10424,722,138100.05,6,Germany,Other,Corporate,Stay
10268,65,36326,46753,441,103736.64,8,UK,Other,Corporate,Churn
10269,51,118782,21062,477,91932.71,8,UK,Other,Corporate,Churn
10270,61,198453,42659,570,122015.32,3,USA,Female,SME,Stay
10271,37,78947,20004,595,,7,UK,Female,Corporate,Stay
10272,53,91685,19360,424,114695.36,8,Canada,Female,Corporate,Churn
10273,67,58397,19535,343,57526.07,1,UK,Female,SME,Churn
10274,34,145587,14523,506,165590.34,4,Germany,Other,Corporate,Stay
10275,26,48633,40849,900,47856.41,0,France,Other,Retail,Churn
10276,58,81036,3940,402,82660.27,7,India,Other,Retail,Churn
10277,18,164271,10850,716,130578.56,7,Canada,Other,Retail,Stay
10278,66,95299,21548,592,129179.58,1,France,Other,Retail,Churn
10279,52,29777,11973,727,176448.99,2,India,Female,Corporate,Stay
10280,,95882,2955,309,59678.44,9,India,Female,Corporate,Churn
10281,47,188116,36105,836,98782.48,2,Germany,Female,Corporate,Stay
10282,,49529,22171,466,146223.85,10,UK,Other,Retail,Churn
10283,18,108371,19834,881,134880.23,3,USA,Other,SME,Stay
10284,43,132119,34269,635,17347.55,10,India,Male,Retail,Churn
10285,48,104830,16756,306,52157.06,3,Canada,Female,Corporate,Churn
10286,37,172688,47874,886,2287.15,10,UK,Other,Retail,Churn
10287,21,195056,8247,776,,6,France,Other,SME,Stay
10288,67,101521,45738,420,127742.27,4,UK,Other,Retail,Churn
10289,32,55014,31838,456,90995.73,9,UK,Female,SME,Churn
10290,53,143424,35726,523,152371.92,10,Germany,Male,,Stay
10291,46,158457,46622,670,15620.54,9,India,Male,SME,Churn
10292,50,72994,38032,849,29970.48,5,Germany,Female,Retail,Stay
10293,,73844,47483,897,97765.59,8,Canada,Male,Corporate,Stay
10294,26,154544,27725,767,112782.24,8,,Other,Corporate,Stay
10295,64,25706,26448,560,163290.65,3,Germany,Male,Retail,Stay
10296,45,110316,46400,365,108232.7,0,India,Female,,Churn
10297,36,127182,12295,438,153165.54,10,Canada,Female,Corporate,Churn
10298,46,118958,25118,382,136546.07,10,Germany,Male,SME,Churn
10299,40,51098,12196,850,78611.73,2,France,Male,Retail,Stay
10300,66,25959,20053,774,134699.97,8,Canada,Other,Corporate,Stay
10301,70,80205,16720,771,69231.95,4,USA,Other,Retail,Stay
10302,20,193066,27975,316,48133.26,1,India,Other,Retail,Churn
10303,46,176705,44541,349,48946.83,0,Canada,Female,Retail,Churn
10304,52,,49939,357,28027.12,4,USA,,SME,Churn
10305,38,171381,39685,628,47380.81,2,France,Other,Retail,Stay
10306,44,98774,18532,362,111343.62,9,France,Male,SME,Churn
10307,61,131988,36928,807,9376.82,5,France,Other,Corporate,Churn
10308,68,157484,21388,726,81651.84,4,Canada,Male,SME,Stay
10309,48,83168,15268,607,171508.25,2,Canada,Male,SME,Stay
10310,44,129185,37022,842,26818.55,3,UK,Male,,Stay
10311,59,40727,29977,679,18492.8,3,India,Female,Corporate,Churn
10312,61,178589,40013,340,174724.09,3,Germany,Other,SME,Churn
10313,53,76889,31917,513,,5,UK,Male,Retail,Stay
10314,30,50753,49447,790,182888.26,9,France,Male,Corporate,Stay
10315,33,164724,21577,589,76132.35,8,France,Female,Corporate,Stay
10316,34,114278,34107,809,93200.81,7,UK,Male,Corporate,Stay
10317,38,128509,3496,876,172816.97,2,India,Female,SME,Stay
10318,,171818,47686,727,59038.46,3,UK,Male,Corporate,Stay
10319,54,84416,33222,863,130921.59,10,UK,Female,Corporate,Stay
10320,64,188216,48970,802,92165.8,5,USA,,,Stay
10321,52,,12561,855,198064.71,0,Germany,Male,Retail,Churn
10322,70,195168,3679,306,82478.44,10,USA,Male,SME,Churn
10323,27,22396,14834,817,91201.93,0,Germany,Other,SME,Churn
10324,57,146669,43706,799,3146.35,8,Germany,Female,Retail,Churn
10325,19,158783,47829,581,107147.62,4,India,Other,SME,Stay
10326,61,132872,12248,409,183609.77,8,USA,Male,Retail,Churn
10327,,158007,17042,662,53464.95,6,India,Female,Corporate,Stay
10328,47,168111,16438,531,59994.93,1,France,Other,Retail,Churn
10329,23,126241,25355,686,110540.29,0,France,,SME,Churn
10330,28,41675,33258,744,128981.45,5,Germany,Male,SME,Stay
10331,20,80231,14355,880,95100.06,0,India,Other,Corporate,Churn
10332,52,167720,43629,333,35870.9,5,India,Male,SME,Churn
10333,27,124410,5542,606,32490.05,3,Germany,Female,SME,Stay
10334,52,106960,25655,443,158099.62,1,Germany,Other,Corporate,Churn
10335,21,45607,29145,537,167734.93,5,Germany,Other,SME,Stay
10336,43,,2441,579,156709.63,7,Canada,Male,Corporate,Stay
10337,53,118415,28801,490,135938.97,10,Canada,Male,SME,Churn
10338,36,84605,47234,375,16407.6,2,Canada,Other,SME,Churn
10339,27,122137,21253,669,21310.18,0,UK,Female,Corporate,Churn
10340,66,90717,7199,435,17459.45,6,Canada,Other,SME,Churn
10341,50,126966,7269,326,17923.77,8,India,Other,SME,Churn
10342,68,105047,25746,312,58369.47,6,India,Other,SME,Churn
10343,33,169935,34651,473,137063.2,2,USA,Female,Corporate,Churn
10344,35,149269,10063,364,33441.48,4,Canada,Female,Corporate,Churn
10345,68,,24166,557,188844.46,10,Canada,Other,SME,Stay
10346,30,140025,7510,438,60931.6,6,UK,Other,Corporate,Churn
10347,69,106387,29350,642,,10,Germany,Male,Corporate,Stay
10348,38,178128,46066,505,95801.95,2,Canada,,Corporate,Stay
10349,65,185911,32678,889,156394.87,5,Canada,Female,Corporate,Stay
10350,41,49855,37452,504,118445.41,8,USA,Other,SME,Stay
10351,19,141011,46923,514,87690.99,4,France,,Corporate,Stay
10352,61,150889,9621,610,48404.23,10,USA,Other,Corporate,Stay
10353,68,118825,5347,759,198140.12,7,Germany,Female,SME,Stay
10354,50,129655,36128,337,158144.18,5,France,Other,SME,Churn
10355,58,42277,7667,554,131520.33,5,USA,Other,SME,Stay
10356,20,167644,42772,709,,5,Canada,,Retail,Stay
10357,24,87826,15049,822,149370.61,8,Germany,Other,SME,Stay
10358,32,136858,25018,700,92612.64,10,Germany,,SME,Stay
10359,27,110431,2109,794,20909.87,6,India,Male,SME,Stay
10360,27,111312,20940,651,91066.53,3,Germany,Female,Corporate,Stay
10361,48,45591,29215,763,63781.89,4,India,Other,Retail,Stay
10362,19,109935,42965,411,135427.87,2,France,Male,SME,Churn
10363,29,164679,10994,638,111969.79,7,USA,Female,SME,Stay
10364,29,68860,42474,742,79116.48,9,USA,Female,SME,Stay
10365,45,121930,791,519,41156.9,1,Germany,Male,SME,Churn
10366,29,115890,21863,501,91510.08,4,France,Female,SME,Stay
10367,58,102157,39623,697,122261.68,9,India,Female,Corporate,Stay
10368,47,181837,11806,604,183736.52,9,India,Other,Retail,Stay
10369,38,50896,16135,612,23389.78,5,France,Male,SME,Stay
10370,42,129638,39587,441,114961.21,6,,Female,SME,Churn
10371,52,189151,11853,868,33373.1,4,USA,Male,Corporate,Stay
10372,46,182374,4013,667,,7,USA,Male,Corporate,Stay
10373,53,152497,43299,806,81826.87,7,Canada,Other,Corporate,Stay
10374,49,63844,5917,878,6172.14,3,UK,Male,Corporate,Churn
10375,32,160930,19418,472,156148.04,9,France,Female,SME,Churn
10376,50,49677,38033,416,53577.78,8,UK,Other,Retail,Churn
10377,66,135701,36305,523,197955.15,1,France,Other,Retail,Churn
10378,37,28449,29973,569,69715.4,1,Canada,Male,Retail,Churn
10379,31,174120,45663,659,172209.74,9,France,Female,Retail,Stay
10380,,56499,14041,511,161088.1,9,UK,Other,Corporate,Stay
10381,56,161234,11534,631,195800.03,4,,Other,Corporate,Stay
10382,50,198074,6740,438,192554.4,6,India,Female,SME,Churn
10383,26,54784,16862,449,142278.97,3,France,Female,Corporate,Churn
10384,27,171368,41945,575,,6,Canada,Male,SME,Stay
10385,68,44404,26901,827,149960.48,5,Canada,Female,Corporate,Stay
10386,55,20648,48519,395,146186.39,7,France,Other,SME,Churn
10387,40,36601,35524,707,43565.99,6,USA,,Corporate,Stay
10388,38,94342,22635,860,115586.73,9,Canada,Female,SME,Stay
10389,66,32690,3510,401,125235.9,7,India,Male,Retail,Churn
10390,46,139673,544,738,40463.64,2,,Female,Retail,Stay
10391,35,44468,43399,669,50077.86,5,France,Other,,Stay
10392,21,123898,41499,612,145197.67,3,Canada,Other,Retail,Stay
10393,63,44951,571,518,95361.34,2,Germany,Male,SME,Stay
10394,61,136671,1108,308,139119.42,1,Canada,Other,Retail,Churn
10395,,38567,15504,692,17866.22,1,India,Female,Corporate,Churn
10396,37,55947,25582,436,128315.23,10,USA,Male,SME,Churn
10397,54,22221,40497,468,88019.88,3,France,Other,Retail,Churn
10398,44,181500,45494,753,171992.5,1,India,Male,Retail,Churn
10399,55,120671,23538,739,62900.73,2,USA,Female,SME,Stay
10400,23,85055,36767,591,155793.93,0,,Female,Retail,Churn
10401,,179102,33892,493,149568.73,4,France,Male,Retail,Churn
10402,49,121157,7888,546,,9,India,Other,Retail,Stay
10403,41,102961,9149,696,172162.8,9,Canada,Female,SME,Stay
10404,61,65290,31368,374,3337.88,1,India,Female,Retail,Churn
10405,20,35851,26581,818,57297.56,8,Canada,Female,SME,Stay
10406,43,41607,42478,849,107531.07,2,UK,Male,Corporate,Stay
10407,23,154035,13816,459,107278.03,6,Germany,Other,SME,Churn
10408,61,188599,4832,617,139735.18,3,India,Male,Retail,Stay
10409,45,50405,30212,356,61858.01,10,France,Male,Retail,Churn
10410,18,55969,46473,311,,5,Germany,Other,SME,Churn
10411,34,,24870,429,149955.28,4,France,Male,Retail,Churn
10412,39,132544,18324,836,12774.4,9,France,Male,,Churn
10413,47,<NA>,24101,356,99922,9,USA,Female,Retail,Churn
10414,34,46975,38111,418,45680.88,8,India,Male,Retail,Churn
10415,33,32053,31417,672,76595.89,2,USA,Male,SME,Stay
10416,69,191888,27983,529,64360.4,6,,Female,Corporate,Stay
10417,70,40417,37956,681,23880.19,10,India,Male,Retail,Stay
10418,69,155207,3509,710,13785.29,7,UK,Female,,Churn
10419,23,164989,30433,308,73783.87,4,Germany,Female,SME,Churn
